		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.015625	M = 16	N = 8	m = 9	n = 128
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.015625	M = 16	N = 8	m = 9	n = 128
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS   0
000000011    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS   1
000000101    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS   2
000000111    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS   3
000001001    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS   4
000001011    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS   5
000001101    0    1    0    0    0    0    0    0 32.129293 0.000088 FAILURE   6
000001111    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS   7
000010001    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS   8
000010011    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS   9
000010101    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  10
000010111    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  11
000011001    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  12
000011011    0    1    0    0    0    0    0    0 32.129293 0.000088 FAILURE  13
000011101    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  14
000011111    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  15
000100011    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  16
000100101    0    0    0    0    0    0    1    0 32.129293 0.000088 FAILURE  17
000100111    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  18
000101001    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  19
000101011    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  20
000101101    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  21
000101111    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  22
000110011    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  23
000110101    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  24
000110111    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  25
000111001    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  26
000111011    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  27
000111101    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  28
000111111    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  29
001000011    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  30
001000101    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  31
001000111    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  32
001001011    0    0    0    0    0    1    0    0 32.129293 0.000088 FAILURE  33
001001101    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  34
001001111    0    0    0    0    0    0    0    0  0.064646 1.000000 SUCCESS  35
